City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,San Policarpo,PH,84.58,overcast clouds,12.1791,125.5072,Agapita M. Nicart
290,Takoradi,GH,79.34,overcast clouds,4.8845,-1.7554,Raybow International Hotel
292,Nagua,DO,77.27,overcast clouds,19.3832,-69.8474,Hotel Cambri
293,Galle,LK,82.65,moderate rain,6.0367,80.217,Amangalla
294,Mehran,IR,84.65,clear sky,33.1222,46.1646,بوتیک زنانه بهار
299,Kijang,KR,76.73,moderate rain,35.2442,129.2139,Samyang Beach Villa
306,Torit,SS,76.86,overcast clouds,4.4133,32.5678,Diplomat Guest House
312,Sokoto,NG,83.84,broken clouds,13.0609,5.239,Grand Ibro Hotel
317,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
321,Warri,NG,77.16,overcast clouds,5.5167,5.75,BON Hotel Delta
325,Sambava,MG,76.26,few clouds,-14.2667,50.1667,Melrose
332,Cockburn Town,TC,79.92,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
333,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
336,Marawi,PH,80.8,broken clouds,7.9986,124.2928,Derogongan Residence
337,Harlingen,US,78.89,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
341,Hermosillo,MX,84.69,broken clouds,29.0667,-110.9667,ibis Hermosillo
345,Dangriga,BZ,79.66,clear sky,16.9692,-88.2321,Chaleanor Hotel
348,Merauke,ID,83.59,moderate rain,-8.4667,140.3333,
351,Tiarei,PF,82.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
356,Caramay,PH,86.34,scattered clouds,10.1815,119.236,Peace and Love Beach Club
360,Grand-Lahou,CI,79.7,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
364,Kupang,ID,85.59,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
365,San Patricio,US,80.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
